Municipio,Estacion,Fecha,Diametro aerodinamico,Medicion
Santa Rosa de Cabal,Centro Urbano,04/25/2009 12:00:00 AM,PM10,32.92
Santa Rosa de Cabal,Centro Urbano,04/26/2009 12:00:00 AM,PM10,42.62
Santa Rosa de Cabal,Centro Urbano,04/27/2009 12:00:00 AM,PM10,42.12
Santa Rosa de Cabal,Centro Urbano,04/28/2009 12:00:00 AM,PM10,32.82
Santa Rosa de Cabal,Centro Urbano,04/29/2009 12:00:00 AM,PM10,33.62
Santa Rosa de Cabal,Centro Urbano,04/30/2009 12:00:00 AM,PM10,31.47
Santa Rosa de Cabal,Centro Urbano,05/01/2009 12:00:00 AM,PM10,25.6
Santa Rosa de Cabal,Centro Urbano,05/02/2009 12:00:00 AM,PM10,33.57
Santa Rosa de Cabal,Centro Urbano,05/03/2009 12:00:00 AM,PM10,32.08
Santa Rosa de Cabal,Centro Urbano,05/04/2009 12:00:00 AM,PM10,29.81
Santa Rosa de Cabal,Centro Urbano,05/05/2009 12:00:00 AM,PM10,36.52
Santa Rosa de Cabal,Centro Urbano,05/06/2009 12:00:00 AM,PM10,42.62
Santa Rosa de Cabal,Centro Urbano,05/07/2009 12:00:00 AM,PM10,38.03
Santa Rosa de Cabal,Centro Urbano,05/08/2009 12:00:00 AM,PM10,35.62
Santa Rosa de Cabal,Centro Urbano,05/09/2009 12:00:00 AM,PM10,33.98
Santa Rosa de Cabal,Centro Urbano,05/10/2009 12:00:00 AM,PM10,33.4
Santa Rosa de Cabal,Centro Urbano,05/11/2009 12:00:00 AM,PM10,43.13
Pereira,Centro,12/12/2012 12:00:00 AM,PM2.5,6.19
Santa Rosa de Cabal,Centro Urbano,05/12/2009 12:00:00 AM,PM10,42.53
Santa Rosa de Cabal,Centro Urbano,05/13/2009 12:00:00 AM,PM10,33.12
Santa Rosa de Cabal,Centro Urbano,05/14/2009 12:00:00 AM,PM10,34.24
Santa Rosa de Cabal,Centro Urbano,05/15/2009 12:00:00 AM,PM10,45.16
Santa Rosa de Cabal,Centro Urbano,05/16/2009 12:00:00 AM,PM10,47.21
Santa Rosa de Cabal,Centro Urbano,05/17/2009 12:00:00 AM,PM10,32.06
Santa Rosa de Cabal,Centro Urbano,05/18/2009 12:00:00 AM,PM10,22.34
Santa Rosa de Cabal,Centro Urbano,05/19/2009 12:00:00 AM,PM10,36.27
Santa Rosa de Cabal,Centro Urbano,05/20/2009 12:00:00 AM,PM10,30.72
Santa Rosa de Cabal,Centro Urbano,05/21/2009 12:00:00 AM,PM10,44.82
Santa Rosa de Cabal,Centro Urbano,05/22/2009 12:00:00 AM,PM10,31.43
Santa Rosa de Cabal,Centro Urbano,05/23/2009 12:00:00 AM,PM10,39.74
Santa Rosa de Cabal,Centro Urbano,05/24/2009 12:00:00 AM,PM10,48.61
Santa Rosa de Cabal,Centro Urbano,05/25/2009 12:00:00 AM,PM10,21.53
Santa Rosa de Cabal,Centro Urbano,05/26/2009 12:00:00 AM,PM10,26.27
Santa Rosa de Cabal,Centro Urbano,05/27/2009 12:00:00 AM,PM10,34.98
